Origin,Destination,Headcount shifted,Haversine Distance,total Officer-Miles
London forces: Metropolitan Police + City of London Police,West Mercia,1415,108.09289756479323,152951.45005418244
London forces: Metropolitan Police + City of London Police,Avon & Somerset,1327,106.75683961526525,141666.326169457
London forces: Metropolitan Police + City of London Police,West Midlands,1462,94.0470437222885,137496.7779219858
Thames Valley,Avon & Somerset,1643,77.23020767115811,126889.23120371278
London forces: Metropolitan Police + City of London Police,Devon & Cornwall,669,183.88844978537477,123021.37290641572
Merseyside,West Yorkshire,1980,56.9891242247953,112838.46596509469
London forces: Metropolitan Police + City of London Police,Derbyshire,909,120.21285268364366,109273.48308943209
London forces: Metropolitan Police + City of London Police,Staffordshire,888,116.18158626011197,103169.24859897944
London forces: Metropolitan Police + City of London Police,Sussex,1709,48.97043043090501,83690.46560641666
London forces: Metropolitan Police + City of London Police,Nottinghamshire,624,107.72593123253984,67220.98108910485
London forces: Metropolitan Police + City of London Police,Kent,1201,45.09103044145338,54154.327560185506
Bedfordshire,Nottinghamshire,508,75.76954930348975,38490.931046172795
London forces: Metropolitan Police + City of London Police,Leicestershire,457,83.16534831760589,38006.56418114589
London forces: Metropolitan Police + City of London Police,Cambridgeshire,648,55.04104545815144,35666.59745688213
Dorset,Devon & Cornwall,384,90.83227371467129,34879.59310643378
London forces: Metropolitan Police + City of London Police,Warwickshire,379,79.9849506232283,30314.296286203527
North Yorkshire,Durham,616,43.5624472894916,26834.467530326827
London forces: Metropolitan Police + City of London Police,Wiltshire,349,74.59359702651001,26033.165362251995
Thames Valley,Gloucestershire,445,54.36133917877341,24190.795934554168
Surrey,Hampshire & Isle of Wight,533,40.33984875146312,21501.139384529844
Lancashire,West Yorkshire,561,37.90976559186288,21267.378497035075
Cheshire,West Yorkshire,407,50.31922553647244,20479.924793344282
Lincolnshire,South Yorkshire,379,50.833708154180414,19265.975390434378
Hertfordshire,South Yorkshire,134,122.12473197149322,16364.714084180092
London forces: Metropolitan Police + City of London Police,Suffolk,241,67.37513329403973,16237.407123863575
Humberside,West Yorkshire,305,51.111386060381975,15588.972748416501
Northamptonshire,Derbyshire,221,63.86750965116192,14114.719632906783
Cumbria,Northumbria,159,69.68068908951133,11079.229565232303
London forces: Metropolitan Police + City of London Police,Norfolk,120,91.32226178321898,10958.671413986278
Humberside,Durham,107,81.991519720367,8773.092610079268
Essex,Suffolk,206,40.916229399623035,8428.743256322345
Lincolnshire,West Yorkshire,91,72.4564089650194,6593.533215816766
Cumbria,Durham,87,58.657115227266225,5103.169024772162
Surrey,Sussex,92,30.908717162620725,2843.601978961107
Humberside,Cleveland,10,67.92487920982158,679.2487920982159
Hertfordshire,Nottinghamshire,4,93.51589998561093,374.0635999424437
