police_force,predicted_chi_2026,hit_rate,officer_fte_2025,final_target_fte,delta_fte,core_grant_2025,proposed_core_grant_2026,core_grant_change,core_grant_change_pct,allocation_note
West Mercia,8529753.976179682,0.7864523536165328,2509,3226,717,159104841,180777025.72585994,21672184.72585994,13.621323266876551,Modelled allocation target.
Humberside,8457367.814049585,0.22345541990381057,2273,2161,-112,162844543,179242895.3007466,16398352.30074659,10.069942780180599,Modelled allocation target.
Hampshire,15441200.106907547,0.3318877551020408,3370,5840,2470,258895787,327256124.4743895,68360337.4743895,26.404577017852166,Modelled allocation target.
South Yorkshire,13349589.480100436,0.527802294792586,3026,5049,2023,250092807,282927161.5117154,32834354.511715412,13.128868001275787,Modelled allocation target.
Gloucestershire,4425667.361709849,0.5869450317124736,1346,1674,328,78049635,93796255.40621415,15746620.406214148,20.17513650924075,Modelled allocation target.
Wiltshire,4189874.2068044096,0.18663406682966585,1213,951,-262,82937470,88798926.60290278,5861456.602902785,7.067320238853181,Modelled allocation target.
Sussex,11783995.366208103,0.3977263899318953,3206,4457,1251,216775293,249746433.4164216,32971140.416421592,15.20982394263058,Modelled allocation target.
Bedfordshire,4422731.899989382,0.2544365321577936,1481,1287,-194,89796074,93734042.11841708,3937968.118417084,4.38545689471578,Modelled allocation target.
West Yorkshire,28121667.971897617,0.751744125671453,6138,10636,4498,420762883,596002124.8686407,175239241.86864066,41.64798012106041,Modelled allocation target.
Northamptonshire,5817619.965245572,0.26512867566740944,1465,1764,299,96686118,123296877.85338779,26610759.853387788,27.522834098466742,Modelled allocation target.
Warwickshire,3888662.16502583,0.8533400301356102,1131,1471,340,70314436,82415129.69884093,12100693.698840931,17.209401635307053,Modelled allocation target.
City of London,728824.6084731028,0.3881385068762279,992,276,-716,68842409,15446488.300075494,-53395920.699924506,-77.56253953856337,Modelled allocation target.
Essex,13350951.247913998,0.13003844597329017,3760,3030,-730,226496040,282956022.40685403,56459982.40685403,24.92758037043563,Modelled allocation target.
Devon & Cornwall,13024629.03455783,0.30386761593226863,3618,4526,908,238109971,276040048.1215994,37930077.121599376,15.929646693207728,Modelled allocation target.
North Yorkshire,4398604.105892173,0.3464818763326226,1655,1664,9,99967235,93222684.94839786,-6744550.05160214,-6.746760627721813,Modelled allocation target.
Northumbria,12832965.61809341,0.7473404786140551,3829,4854,1025,300591884,271977991.6466232,-28613892.353376806,-9.519183276876765,Modelled allocation target.
Metropolitan Police,68298526.485,0.16367158496485734,33293,15499,-17794,2293667499,1447498311.6625686,-846169187.3374314,-36.891536707319034,Modelled allocation target.
Thames Valley,15643084.575949432,0.2371193647220659,5000,4242,-758,304039970,331534802.84607005,27494832.84607005,9.043163912320493,Modelled allocation target.
Staffordshire,8642022.354962228,0.33751829565783054,1997,3268,1271,154682190,183156407.78729457,28474217.787294567,18.40820703876417,Modelled allocation target.
Nottinghamshire,8575905.837607788,0.39717634523175277,2391,3243,852,178948808,181755154.31713986,2806346.317139864,1.5682397376683637,Modelled allocation target.
Lincolnshire,5246018.955876316,0.16113344572688368,1173,1190,17,85506516,111182538.9563644,25676022.956364393,30.028147745330187,Modelled allocation target.
Leicestershire,8169366.589682905,0.24915111783493024,2248,2327,79,149398893,173139084.4649582,23740191.46495819,15.890473475568651,Modelled allocation target.
Dorset,4154764.002207609,0.20867505011846182,1420,991,-429,86023913,88054811.54667008,2030898.5466700792,2.3608534834611388,Modelled allocation target.
Kent,13472568.23139492,0.45162042706037386,4168,5095,927,245418856,285533535.96853817,40114679.968538165,16.345394409522537,Modelled allocation target.
Hertfordshire,8098654.769780671,0.24667680067272552,2379,2284,-95,155245239,171640439.54257396,16395200.542573959,10.560839513135702,Modelled allocation target.
Durham,5413306.4036573805,0.49490870786516855,1376,2047,671,112902355,114727978.52420944,1825623.5242094398,1.6169933073667417,Modelled allocation target.
Avon & Somerset,15481900.054761931,0.3636835278858625,3327,5855,2528,231607316,328118706.8584606,96511390.8584606,41.67026867944906,Modelled allocation target.
Cleveland,6804157.442586191,0.2466863229473796,1520,1919,399,121078242,144205254.744301,23127012.74430099,19.100882505628874,Modelled allocation target.
Suffolk,4421675.723754439,0.3608923161663454,1403,1672,269,92286811,93711657.83876158,1424846.838761583,1.5439333349177955,Modelled allocation target.
Cumbria,3884809.5899902536,0.46900282920534075,1365,1469,104,84899111,82333479.38884816,-2565631.6111518443,-3.0219770041547833,Modelled allocation target.
Norfolk,5812289.9609903125,0.35086508863178006,1911,2198,287,115480008,123183915.35539983,7703907.355399832,6.671204383186249,Modelled allocation target.
West Midlands,31121557.745833334,0.170580679350487,7991,7062,-929,598100000,659580881.342976,61480881.342975974,10.279364879280383,Modelled allocation target.
Merseyside,12890607.503829954,0.1753071987371911,4159,2925,-1234,331638676,273199636.33764035,-58439039.662359655,-17.621298084774544,Modelled allocation target.
Derbyshire,8569621.128263883,0.9562265499374665,2102,3241,1139,142436827,181621958.08827847,39185131.08827847,27.51053355623997,Modelled allocation target.
Cambridgeshire,7038641.307776016,0.40190844030444167,1720,2662,942,104239821,149174834.85740823,44935013.857408226,43.1073398115373,Modelled allocation target.
Surrey,6639351.471420773,0.33087481489919124,2330,2511,181,132132164,140712406.841261,8580242.841261,6.493682220523535,Modelled allocation target.
Cheshire,7993261.533492138,0.3013127066148859,2395,2754,359,150680231,169406767.17159227,18726536.171592265,12.427998050780973,Modelled allocation target.
Lancashire,12872300.11883491,0.12352941176470589,3561,2921,-640,253239560,272811635.15759873,19572075.157598734,7.7286799730653195,Modelled allocation target.
Greater Manchester,,,8112,8112,0,573965227,573965227.0,0.0,0.0,Baseline retained because modelled crime demand was unavailable.
