Police_Force,Train_Rows,Test_Months,R2_2025,RMSE_2025,MAE_2025
Humberside,48,12,0.6373,64784.16,51250.89
Thames Valley,48,12,0.5643,142000.96,104337.29
Sussex,48,12,0.5549,112761.1,95607.17
West Yorkshire,48,12,0.4914,213512.02,180947.12
Wiltshire,48,12,0.4671,35689.95,28713.89
Cambridgeshire,48,12,0.4585,58035.96,49303.75
Merseyside,48,12,0.4578,98567.64,81531.43
Derbyshire,48,12,0.4083,83011.78,62810.57
Lancashire,48,12,0.4043,122677.14,107539.99
Northumbria,48,12,0.3919,113399.68,89714.85
Nottinghamshire,48,12,0.3594,85847.92,75422.16
Cheshire,48,12,0.3316,63081.49,50593.72
Warwickshire,48,12,0.3078,34199.97,25533.57
Bedfordshire,48,12,0.2701,50253.65,36312.86
Norfolk,48,12,0.2414,60553.86,48577.71
Durham,48,12,0.2237,47247.27,35738.98
Cleveland,48,12,0.2172,69045.52,56682.05
Devon & Cornwall,44,12,0.2017,162184.5,136715.13
Suffolk,48,12,0.1768,52317.31,44839.7
West Mercia,48,12,0.1548,98770.63,70480.47
Staffordshire,48,12,0.1229,115613.92,93098.35
Cumbria,48,12,0.0435,36959.54,31955.04
Northamptonshire,48,12,0.0416,68657.86,54548.69
South Yorkshire,48,12,0.0326,149697.09,118785.95
Kent,48,12,-0.0116,196891.97,151069.24
Hampshire & Isle of Wight,48,12,-0.0142,694764.75,319091.45
Avon & Somerset,48,12,-0.0193,148021.77,129669.89
Surrey,48,12,-0.0389,97811.8,78339.33
North Yorkshire,48,12,-0.092,57243.33,46256.62
West Midlands,48,12,-0.1247,319455.87,248077.53
Essex,48,12,-0.1289,180997.72,150171.37
Gloucestershire,48,12,-0.2515,51551.72,41282.69
Leicestershire,48,12,-0.2717,77622.54,61198.17
London forces: Metropolitan Police + City of London Police,48,12,-0.3623,877841.32,779501.16
Dorset,48,12,-0.3686,67228.74,55559.98
Lincolnshire,48,12,-0.5634,101278.05,84633.24
Hertfordshire,48,12,-1.2696,128740.98,100148.69
